"VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"02/12/2019" 118.329485934555 119.724547909532 122.436046101432 95.042045678614 118.031989108669 119.402112139245 125.285883760205 117.41462881855 124.560804194098 124.307635088712 115.435040419834 115.473927392256 120.919094878496 122.612146827165 107.134602561022 117.917255129618 90.7921580073306 121.942531667442 110.596921124472 94.92263552257 118.429226052379 116.857700281746 144.708130341614 111.329457351558 88.8465634541676 122.422064670033 94.7268438699969 113.991509107856 89.152005669047 119.670774579617 115.193741376074
"03/12/2019" 118.488040884334 120.255918325477 122.681872290253 94.7994381457294 118.588069024463 119.435187946403 125.260935947469 116.94664710334 124.559064867692 124.064728323932 115.035520892616 115.110375583106 121.223331745649 122.388968853561 106.86689226119 118.358223102313 90.3954980930329 121.458665063255 110.627454046334 94.7456385977087 118.13434310172 116.317228391387 144.740328282178 110.563435842168 88.6000676069465 122.099177072259 94.3836894334052 113.357560103919 88.8451953716488 120.069918584915 114.801330965002
"04/12/2019" 118.344198731268 119.728916247913 122.439453116405 95.0430107378981 118.038989243933 119.408090140057 125.42129746235 117.488086143844 124.61149821413 124.334132644169 115.432340508814 115.484344342368 120.920827751868 122.607860627494 107.132117532222 117.929608608666 90.8805613834071 121.940449041331 110.496521625727 94.9345194222605 118.440739410422 116.851265556259 144.703497908924 111.327072888256 88.8660761490876 122.417502595174 94.7241364118794 114.018446679219 89.2069229054301 119.723959663378 115.216588243642
"05/12/2019" 116.400896842349 120.57520126228 121.352985175815 94.4915325334299 118.818130145713 118.597624651362 118.575856953818 121.06514094426 122.953686340294 125.506281081817 119.337455296509 120.246146381465 120.421765403569 121.339354333839 106.668857248858 117.00555817249 86.2441690050273 121.082001899846 112.692146414369 94.0627439935372 120.807951796807 119.938593217265 142.953465752862 117.35749807364 88.8698111705429 121.376871496704 95.5132448008898 110.953203835952 88.4466241823419 119.550878973116 121.299581448678
"06/12/2019" 118.472068919907 120.333573543008 122.946505326618 95.2217943969209 118.564888644996 119.645427245742 120.522664505106 117.583276803976 125.001869107225 124.637804944198 115.615154921368 115.706323662645 121.426412238642 122.849473702446 107.325475260556 118.300486954591 87.5129487049583 121.973804938267 110.418688866801 95.158498912161 118.704817620896 116.901735666215 145.07543294039 111.180666545384 89.0343918466461 122.584396902014 94.8430351957889 113.420708991003 89.2895449071604 120.277621447088 115.418785486081
"09/12/2019" 118.423395387124 120.016027227332 122.778674700597 95.3114470864463 118.231331680468 119.575349576051 120.563949330976 117.950829460885 125.077048978259 124.785878954301 115.774384729451 115.882722443422 121.221031335235 122.901931739148 107.414087442521 118.054709509423 87.7310470008733 122.157800044551 110.22931765166 95.2427634597229 118.846278075631 117.115226491195 144.97996602002 111.515758346218 89.175960387151 122.68495351514 94.9756116682007 113.827100277669 89.5369466413344 120.149178210059 115.640463005646
"10/12/2019" 118.348079827349 119.834452627181 122.642816417751 95.3086183796325 118.091388803694 119.576844183353 120.627395098433 118.157364770318 125.087575952295 124.78938795267 115.780205647224 115.889781448962 121.083610271941 122.884977188737 107.409500501883 117.945902943926 87.8626529461048 122.246788593645 110.164486056587 95.2349441489294 118.836998538577 117.183786711289 144.918339260567 111.682646807832 89.2042715311799 122.704606751278 94.9963147857772 114.059485200938 89.686788950413 120.08097220742 115.679848246719
"11/12/2019" 118.418242031586 119.990657270488 122.75375279896 95.2915199350226 118.207520199661 119.55152305785 120.541464322876 118.017996087195 125.112771096094 124.79296280767 115.746787587362 115.872111363776 121.19341647161 122.868662428596 107.387119998402 118.03929169074 87.7151502455998 122.126807088325 110.122898193303 95.2366380590836 118.835998773626 117.081676682228 144.939424477076 111.487943351073 89.1812599125518 122.651266111198 94.9515497551341 113.843071432491 89.585679296692 120.186551342096 115.6457555884
"12/12/2019" 118.462055191566 120.324014096058 123.049474585464 95.4309862791188 118.496320775021 119.714283142533 120.64830689532 113.334385192857 125.294639404832 124.971837402708 115.905352389747 116.031725631868 121.48811433935 123.056154305327 107.543652426237 118.233878461785 87.7197152809443 122.215025142328 110.067839559492 95.3824238666338 119.014509659851 117.183601077436 145.190801639536 111.490785190064 89.2880433072126 122.804659769435 95.068183604474 113.494107214896 86.3058509784547 120.433070671357 115.779256605408
"13/12/2019" 118.276206738928 119.86523517563 122.758105250746 95.4873687519731 118.067654502558 119.645127100342 120.732819208485 113.841609041978 125.402843526226 125.103834201995 116.024418825356 116.176386103542 121.164049987492 123.062482198038 107.594494229689 117.883419238639 88.0203255824391 122.438509218887 109.996265473818 95.4373384594192 119.113705829157 117.40952716339 145.030032805469 111.919401642943 89.436473387999 122.887881522549 95.1824871707558 113.991402461305 86.6571381614443 120.295044762359 116.007431374602
