"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/03/2019" 111.110088851877 121.648771734754 127.211875475157 124.551602680913 88.9628943170554 125.414567886052 124.230980033795 125.958501257796 118.817012377166 122.920629852124 127.631177024411 117.454761430951 116.733738021934 125.221481636423 122.261064967782 104.401071152619 122.887227758082 81.653231976659 123.160789417901 117.298502914469 87.8724950987953 121.253315818781 119.87982803802 150.811171173008 111.638998676786 81.7323313601874 122.796048937128 90.7321622790256 115.041803816164 80.6208789898262 123.895164934526 115.645696133718
"04/03/2019" 111.117641775322 121.707558635945 127.343654945356 124.698667555122 89.0405903098106 125.517597213206 124.378366761119 126.104256891162 118.933582638444 123.042159763031 127.745762200025 117.571676181025 116.849318302997 125.369214588721 122.374194626352 104.492832160147 122.960125642486 81.7257928506208 123.271277447975 117.32760089515 87.951129997383 121.366864534053 119.99827797611 150.979143222095 111.750196344559 81.8020379354819 122.907114135817 90.8128048910538 115.091663585772 80.6901901722862 124.038185404095 115.758370028766
"05/03/2019" 111.120069927214 121.727064363593 127.387535413138 124.747695717149 89.0664911256465 125.551867955917 124.427483289501 126.15284983222 118.972431973789 123.082682323191 127.783944486182 117.610641980361 116.887842437376 125.418449457336 122.411909790419 104.523416825145 122.984338868095 81.7499885621115 123.308102377801 117.337207433657 87.9773491940918 121.404701027561 120.037751314924 151.035142315528 111.78725978487 81.8252694859139 122.944136576881 90.8396781695375 115.108196544819 80.7132975242209 124.085840855447 115.795924270814
"06/03/2019" 111.122453329536 121.746525092788 127.431392770709 124.796727074625 89.0923930240023 125.586102431652 124.476593537672 126.201446567717 119.011277560929 123.123211166612 127.822120362184 117.649604848855 116.926365230465 125.46767951474 122.449627585204 104.554000324142 123.008509002905 81.7741886584927 123.344925098565 117.346767557608 88.0035721783315 121.442530957557 120.077219624267 151.091145534082 111.824321978576 81.8484990460318 122.98115936607 90.8665476373579 115.124685983546 80.7364066981337 124.133487196852 115.833476629815
"07/03/2019" 111.124791979406 121.765940796377 127.475226958638 124.845761583591 89.1182960089163 125.620300590201 124.52569745168 126.250047055296 119.05011937647 123.163746286302 127.860289813661 117.688564763208 116.964886665288 125.516904708805 122.487348005778 104.584582658792 123.032636013277 81.7983931446506 123.38174560889 117.356281254901 88.02979895347 121.480354309423 120.116682878623 151.147152829679 111.861382912404 81.8717266140528 123.018182499811 90.893413285817 115.141131879102 80.7595176998854 124.181124373861 115.871027092841
"08/03/2019" 111.127085873995 121.785311447272 127.519037917497 124.894799200054 89.1442000844277 125.654462381406 124.574794977546 126.298651252569 119.088957397028 123.204287675274 127.898452826255 117.727521700117 117.003406724868 125.566124987377 122.525071047219 104.615163830752 123.056719865632 81.8226020254736 123.418563907406 117.365748513504 88.0560295228774 121.518171068548 120.15614105247 151.20316415422 111.898442573086 81.8949521881981 123.055205974535 90.9202751063596 115.157534208701 80.782630535344 124.228752331998 115.908575646971
"11/03/2019" 111.133698998597 121.843152813864 127.650330825462 125.04193025408 89.2219188949559 125.756729050107 124.722048686085 126.444485678289 119.205448454863 123.325949388096 128.012903087279 117.844374413104 117.118958482414 125.713755808124 122.638255847547 104.706900387076 123.12871213963 81.8952550848492 123.529005518967 117.393871538004 88.1347440304448 121.631581643512 120.274484835751 151.371221820225 112.009613783647 81.9646169296484 123.166278408929 91.0008375153536 115.206479574844 80.8519801026242 124.371580348069 116.02120972665
"12/03/2019" 111.135813844853 121.862342984373 127.694048273867 125.090979860036 89.2478273732719 125.790744871337 124.771120119035 126.493104289936 119.244271061533 123.366515784436 128.051040200922 117.883319207142 117.157472871296 125.762955902554 122.675989323281 104.737476924857 123.152623025239 81.9194815932593 123.565814957197 117.403152923051 88.1609898106712 121.669371885754 120.313922432349 151.42724877916 112.046668219161 81.9878345105795 123.203303211922 91.0276839391142 115.222707414023 80.8751003315785 124.419170885493 116.058750515606
"13/03/2019" 111.137883922494 121.881487967703 127.737742196136 125.140032353093 89.2737369623986 125.824724075177 124.82018489353 126.541726398936 119.283089756227 123.407088415205 128.089170804015 117.922260907171 117.195985800081 125.81215082025 122.713725395312 104.768052308239 123.17649058578 81.9437125208086 123.602622176437 117.412387810383 88.1872394020497 121.70715546234 120.353354820825 151.483279526247 112.08372131526 82.0110500887988 123.240328338079 91.0545264924213 115.238891574268 80.8982224235791 124.466751931316 116.09628933068
"14/03/2019" 111.139909229015 121.900587737149 127.781412532872 125.189087689084 89.2996476663821 125.858666611767 124.869242955424 126.590351962741 119.321904515539 123.447667273462 128.12729488225 117.961199489867 117.234497251803 125.861340508874 122.751464058738 104.798626538883 123.200314788013 81.9679478723987 123.639427174601 117.421576188742 88.2134928079637 121.744932358715 120.392781975681 151.539314013269 112.120773058707 82.0342636625513 123.277353783842 91.0813651667823 115.255032033176 80.9213463844969 124.514323430932 116.13382615883
"15/03/2019" 111.735936333774 120.99594731749 130.061308322216 132.93694562027 92.9663064610781 125.827572028458 130.38570663208 134.637482389925 118.908771241482 132.001237747924 129.283402086637 117.552546304876 117.245507442633 131.836849923929 129.486481427913 108.577993293628 122.316415560108 86.6219977893463 128.12415748449 117.096205175102 92.9986907710641 121.429675866991 119.832600098469 160.975749493024 112.846669746934 83.8885588530373 128.935843005279 91.4392027217141 114.394597094509 84.4029954077227 129.499487719888 116.75246647562
"18/03/2019" 112.280341616397 119.838126955594 128.372110685044 132.623869014836 94.1805334648 124.012779388477 129.342821837358 134.466123771555 119.71363688866 132.985916132209 130.461701260644 118.317799654765 117.867363958443 130.93765570266 130.673399598382 109.794228672657 120.8571178443 87.8636787541705 129.345219687884 116.80870379878 94.2273966989404 122.452328936952 120.696577666362 160.876627525859 113.001998443997 85.0519128557541 130.156977149066 92.5076377988858 113.423066376946 85.6300576361852 128.394443667797 117.076153913556
