"VEBONO012020" "VEBONO012021" "VEBONO012023" "VEBONO012025" "VEBONO012029" "VEBONO022022" "VEBONO022024" "VEBONO022025" "VEBONO022034" "VEBONO032027" "VEBONO032031" "VEBONO032034b" "VEBONO032035" "VEBONO042024" "VEBONO042028" "VEBONO042029" "VEBONO052021" "VEBONO052028" "VEBONO052029" "VEBONO062020" "VEBONO062028" "VEBONO062032" "VEBONO072033" "VEBONO082025" "VEBONO082037" "VEBONO092029" "VEBONO102028" "VEBONO102030" "VEBONO112020" "VEBONO112028" "VEBONO122023" "VEBONO122036"
"01/04/2019" 112.833520202916 119.6271644507 128.501865282058 134.193732303695 96.3975536743029 123.738850924075 130.219603649393 136.155969595661 120.57974569434 135.640176286756 132.613504489396 119.126406093887 118.268551709657 131.9486857722 133.411684716764 112.163470475398 120.557006068637 90.0966575511153 131.961690763334 116.957383168609 96.5261982108896 124.036468927845 121.825164661425 162.969212551584 112.393540395784 86.9905607249828 132.858072832259 94.2413968264432 113.261000907848 87.7561222733366 129.154713420666 116.763951783042
"02/04/2019" 112.853036462038 119.652781601618 128.536995738294 134.235400905804 96.4316162407302 123.769604570334 130.258480628189 136.19818863331 120.621384288735 135.684836190739 132.658906683696 119.167821090217 118.309589914929 131.988228196129 133.456683454402 112.202385774575 120.584151616937 90.1286073637798 132.006841289993 116.979696760955 96.5601643481639 124.079325958792 121.867598790739 163.019747672162 112.433013392728 87.0217197655453 132.903195302856 94.2749007109457 113.284699598224 87.7874458783222 129.192555855519 116.804440262912
"03/04/2019" 112.872542512174 119.678389938779 128.572121763327 134.277070152045 96.4656845289955 123.800351575669 130.297356193503 136.24040846277 120.66302920303 135.729500456677 132.704315363886 119.209242539486 118.350634445349 132.027769467015 133.501687696983 112.241306955167 120.611288969283 90.1605626593993 132.051997976704 117.002000538661 96.5941360415248 124.12218948661 121.91003956992 163.070284012916 112.472492696129 87.0528844892078 132.948323621008 94.3084105006648 113.308389662519 87.818775078915 129.230396271069 116.844934913697
"04/04/2019" 112.892038346863 119.703989453529 128.607243345774 134.318740031265 96.4997585358924 123.831091929659 130.336230333859 136.282629072908 120.704680433348 135.774169077272 132.74973052513 119.250670437923 118.391685297192 132.06730957336 133.546697438362 112.280234013059 120.638418116431 90.1925234348924 132.097160818087 117.024294494489 96.6281132875026 124.165059507171 121.952486995033 163.120821560883 112.511978302431 87.0840548934186 132.993457780972 94.3419261928452 113.332071092789 87.8501098724334 129.268234655936 116.885435731691
"05/04/2019" 112.911523959647 119.729580137217 128.64236047425 134.360410532303 96.5338382582119 123.861825621887 130.375103037777 136.324850452585 120.746337975813 135.818842045223 132.795152162589 119.292104781753 118.432742466733 132.106848503663 133.59171267239 112.319166944131 120.665539049142 90.2244896871746 132.142329808759 117.046578621205 96.6620960826246 124.207936016343 121.994941062141 163.171360303095 112.551470208074 87.1152309756237 133.038597777002 94.3754477847298 113.355743881092 87.8814502561931 129.30607099874 116.925942713189
"08/04/2019" 112.969919402033 119.806299115476 128.747685022 134.485425654683 96.6361116855772 123.95398662383 130.491712416074 136.451519097402 120.87134843728 135.952886960117 132.931455883838 119.416446447843 118.555951844264 132.225458123261 133.726791268816 112.436000935187 120.746852468298 90.3204212738694 132.277873622625 117.113371954363 96.7640777280829 124.33660443419 122.122343076029 163.322983565451 112.669983685439 87.2087932646323 133.174052723982 94.4760479310096 113.426710314838 87.9755049220427 129.419567660913 117.047500601617
"09/04/2019" 112.989364062674 119.831854388497 128.782784220735 134.527098531325 96.6702142374448 123.984693564851 130.530579259392 136.493743443762 120.913031189518 135.997577244365 132.976903377722 119.457906535475 118.597034247309 132.264992234319 133.771828411869 112.474957317727 120.773940450925 90.3524094024065 132.323067156553 117.135616692324 96.7980826849932 124.379506856457 122.164823671701 163.373526954864 112.709500752829 87.239992033231 133.21921600675 94.509593094102 113.450348455935 88.0068676398771 129.457395721591 117.088032200035
"10/04/2019" 113.00879846916 119.857400787266 128.817878908566 134.568771973926 96.7043224886506 124.01539379204 130.569444608831 136.535968503902 120.954720234489 136.042271839336 133.02235732359 119.499373049607 118.638122949401 132.30452511178 133.816871016766 112.513919552807 120.801020172962 90.384402992267 132.368266812803 117.15785156503 96.8320931736382 124.42241574665 122.207310889652 163.424071473605 112.749024101743 87.2711964670211 133.264385096803 94.5431441430844 113.473977915416 88.0382359344945 129.495221683257 117.128569943402
"11/04/2019" 113.02822261505 119.882938303155 128.852969074105 134.610445971307 96.7384364359725 124.046087294988 130.608308452894 136.578194266656 120.996415568305 136.086970737651 133.067817716588 119.540845986458 118.679217946803 132.344056744124 133.861919077335 112.552887636291 120.828091625191 90.4164020403491 132.413472585973 117.180076565261 96.8661091905267 124.465331100625 122.249804725932 163.474617108675 112.788553728615 87.3024065634353 133.309559988372 94.5767010751883 113.497598685364 88.0696098031958 129.533045534513 117.169113828002
"12/04/2019" 113.047636493903 119.908466927541 128.888054705962 134.652120512284 96.7725560761869 124.076774063286 130.64717078008 136.620420720853 121.038117187076 136.131673931924 133.113284551858 119.582325342248 118.720319235778 132.383587119825 133.906972587398 112.59186156404 120.855154798393 90.4484065435476 132.458684470655 117.202291685795 96.9001307321643 124.508252914235 122.292305176591 163.525163847068 112.82808962988 87.3336223199044 133.354740675688 94.6102638876431 113.521210757867 88.1009892432791 129.570867263958 117.209663850119
