"V1","V2","V5"
188,"20/06/2017",110.1211
189,"16/06/2017",110.5225
190,"15/06/2017",110.2705
191,"14/06/2017",110.2705
192,"13/06/2017",110.3203
193,"12/06/2017",110.3203
194,"09/06/2017",110.3026
195,"08/06/2017",110.3239
196,"07/06/2017",110.3012
197,"06/06/2017",110.3012
198,"05/06/2017",110.3012
199,"02/06/2017",110.3006
200,"01/06/2017",110.1555
201,"31/05/2017",109.6523
202,"30/05/2017",109.8194
203,"26/05/2017",109.722
204,"25/05/2017",109.7639
205,"24/05/2017",109.7234
206,"23/05/2017",109.653
207,"22/05/2017",109.587
208,"19/05/2017",109.7819
209,"18/05/2017",109.7819
210,"17/05/2017",110.0581
211,"16/05/2017",110.056
212,"15/05/2017",110.056
213,"12/05/2017",110.0317
214,"11/05/2017",109.1496
215,"10/05/2017",108.8346
216,"09/05/2017",108.8346
217,"08/05/2017",108.8346
218,"05/05/2017",108.8765
219,"04/05/2017",108.8736
220,"03/05/2017",108.8736
221,"02/05/2017",108.8736
222,"28/04/2017",108.9083
223,"27/04/2017",109.1589
224,"26/04/2017",109.1798
225,"25/04/2017",109.0374
226,"24/04/2017",109.3983
227,"21/04/2017",108.8947
228,"20/04/2017",108.7439
229,"18/04/2017",108.7391
230,"17/04/2017",108.9038
231,"12/04/2017",108.9301
232,"11/04/2017",109.1474
233,"10/04/2017",108.9232
234,"07/04/2017",108.9232
235,"06/04/2017",108.895
236,"05/04/2017",108.8655
237,"04/04/2017",108.8655
238,"03/04/2017",108.9358
239,"31/03/2017",108.9003
240,"30/03/2017",108.7706
241,"29/03/2017",108.452
242,"28/03/2017",109.041
243,"27/03/2017",109.2667
244,"24/03/2017",109.1873
245,"23/03/2017",108.7362
246,"22/03/2017",108.5303
247,"21/03/2017",108.854
248,"20/03/2017",108.786
249,"17/03/2017",108.7987
250,"16/03/2017",108.2094
251,"15/03/2017",108.2111
252,"14/03/2017",108.2093
