98	01/11/2017	2,703227	107,491443	110,3442	112,890957
99	31/10/2017	2,699757	106,731922	110,1912	112,090678
100	30/10/2017	2,679378	107,53407	109,4113	112,94553
101	27/10/2017	2,70573	108,044223	110,2398	113,480377
102	26/10/2017	2,718077	107,096196	110,7623	112,495604
103	25/10/2017	2,699704	107,048993	109,7959	112,446007
104	24/10/2017	2,698507	107,3783	109,7475	112,8003
105	23/10/2017	2,711	107,350454	110,0893	112,772146
106	20/10/2017	2,710846	107,572732	110,0613	113,005468
107	19/10/2017	2,716368	107,468934	110,2891	112,896466
108	18/10/2017	2,713766	107,468504	110,1827	112,896896
109	17/10/2017	2,714196	107,467762	110,1827	112,897638
110	16/10/2017	2,714938	107,466089	110,1827	112,899311
111	13/10/2017	2,716611	107,760703	110,1827	113,209897
112	11/10/2017	2,724597	107,760503	110,4853	113,210097
113	10/10/2017	2,724797	107,598857	110,4853	113,040143
114	09/10/2017	2,720643	124,474256	110,3195	129,685544
115	06/10/2017	2,605644	125,6472	127,0799	130,9012
116	05/10/2017	2,627	125,226004	128,2742	130,461796
117	04/10/2017	2,617896	125,225821	127,8439	130,461979
118	03/10/2017	2,618079	125,055513	127,8439	130,284487
119	02/10/2017	2,614487	108,749321	127,67	111,390879
120	29/09/2017	1,320779	108,53433	110,0701	111,17027
121	28/09/2017	1,31797	108,601715	109,8523	111,239285
122	27/09/2017	1,318785	108,696353	109,9205	111,336447
123	26/09/2017	1,320047	108,484175	110,0164	111,118625
124	25/09/2017	1,317225	108,198666	109,8014	110,825334
125	22/09/2017	1,313334	108,566171	109,512	111,200829
126	21/09/2017	1,317329	108,565758	109,8835	111,201242
127	20/09/2017	1,317742	108,565717	109,8835	111,201283
128	19/09/2017	1,317783	108,562226	109,8835	111,203774
129	18/09/2017	1,320774	108,412756	109,883	111,053644
130	15/09/2017	1,320444	108,528841	109,7332	111,172559
131	14/09/2017	1,321859	108,528844	109,8507	111,172556
132	13/09/2017	1,321856	108,528668	109,8507	111,172732
133	12/09/2017	1,322032	108,519193	109,8507	111,173007
134	08/09/2017	1,326907	108,463579	109,8461	111,126421
135	07/09/2017	1,331421	108,521861	109,795	111,186139
136	06/09/2017	1,332139	108,521745	109,854	111,186255
137	05/09/2017	1,332255	108,521502	109,854	111,186498
138	04/09/2017	1,332498	108,500371	109,854	111,164829
